date_tagged,tag,caste
2013-09-26,490C,worker
2013-09-26,4A0C,worker
2013-09-26,4B0C,worker
2013-09-26,380C,worker
2013-09-26,6225,worker
2013-09-26,5125,worker
2013-09-26,3B0C,worker
2013-09-26,2A0C,worker
2013-09-26,2B0C,worker
2013-09-26,4925,male
2013-09-26,340C,male
2013-09-26,350C,male
2013-09-26,360C,male
2013-09-26,370C,male
2013-09-26,DA24,male
2013-09-26,7E09,male
2013-09-26,480C,male
2013-09-27,400C,worker
2013-09-27,500C,worker
2013-09-27,510C,worker
2013-09-27,520C,worker
2013-09-27,5225,worker
2013-09-27,8B0C,worker
2013-09-27,8C0C,worker
2013-09-27,410C,worker
2013-09-27,2E0C,worker
2013-09-27,7D0C,worker
2013-09-27,430C,worker
2013-09-27,420C,worker
2013-09-27,7B0C,worker
2013-09-27,4825,worker
2013-09-27,7C0C,worker
2013-09-27,7E0C,worker
2013-09-27,4725,male
2013-09-27,270C,male
2013-09-27,4425,male
2013-09-27,3D0C,male
2013-09-27,3E0C,male
2013-09-27,3C0C,male
2013-09-27,4F0C,male
2013-09-27,4E0C,male
2013-09-27,4D0C,male
2013-09-27,4C0C,male
2013-09-27,8D0C,male
2013-09-29,F122,worker
2013-09-29,C824,worker
2013-09-29,F222,worker
2013-09-29,CA24,worker
2013-09-29,1321,worker
2013-09-29,0223,worker
2013-09-29,F322,worker
2013-09-29,E122,worker
2013-09-29,0123,worker
2013-09-29,0023,worker
2013-09-29,FF22,worker
2013-09-29,0321,worker
2013-09-29,0221,worker
2013-09-29,0421,worker
2013-09-29,1221,worker
2013-09-29,1121,worker
2013-09-29,0121,male
2013-09-29,F620,male
2013-09-29,F420,male
2013-09-29,F520,male
2013-09-29,990C,male
2013-09-29,310C,male
2013-09-29,F320,male
2013-10-01,E722,worker
2013-10-01,E622,worker
2013-10-01,E522,worker
2013-10-01,FA22,worker
2013-10-01,D424,worker
2013-10-01,F822,worker
2013-10-01,0723,worker
2013-10-01,0823,worker
2013-10-01,0923,worker
2013-10-01,0A23,worker
2013-10-01,F922,worker
2013-10-01,E322,worker
2013-10-01,E222,worker
2013-10-01,0623,worker
2013-10-01,C924,worker
2013-10-01,F722,worker
2013-10-01,B824,worker
2013-10-01,F422,worker
2013-10-01,0423,worker
2013-10-01,F622,worker
